name,imageUrl,positionName,id,parentId,size
Isabelle Scemama,https://media.licdn.com/dms/image/C4D03AQHvy0VENF4HaQ/profile-displayphoto-shrink_100_100/0/1555406442181?e=1724889600&v=beta&t=o14wLoKodEgXqIxzYPDuhwrIrnYmM1O8OTB8BhKQHyc,Global Head,1,,
Deborah Shire,https://media.licdn.com/dms/image/C4E03AQGqHMafQ67XXw/profile-displayphoto-shrink_100_100/0/1663776576492?e=1724889600&v=beta&t=nr2ZfBlvpl08l5TqCMA0j25kHxW7pwK5e_7SYaQT9es,Deputy Head,2,1,
Florence Dard,https://media.licdn.com/dms/image/C4D03AQEAb5JCf64KZg/profile-displayphoto-shrink_100_100/0/1520704023689?e=1724889600&v=beta&t=Yy-MCPmFN60ZpxbjREndMFLxyxBYH_9jPypSceDTvRA,Global Head of Client Group,3,1,
Timothé Rauly,https://www.ieif.fr/wp-content/uploads/2021/10/Rauly-Timothe-200.jpg,Global Co-Head of Real Estate,4,1,
John O’Driscoll,https://photos.watchmedier.dk/Images/15605270/wplrn3/ALTERNATES/schema-16_9/John%20O'Driscoll%20er%20global%20co-head%20of%20real%20estate%20i%20Axa%20IM%20Alts,Global Co-Head of Real Estate,5,1,
Alexandre Martin-Min,https://media.licdn.com/dms/image/C4D03AQF-uAc5PzHF6Q/profile-displayphoto-shrink_200_200/0/1662482441383?e=2147483647&v=beta&t=XU2B83ZOyoYGHEY7IG5LYegM-jJnrDuVdslOKJs3t4k,Head of Natural Capital and Impact Investments,6,1,
Christophe Fritsch,https://media.licdn.com/dms/image/C4E03AQHbw3DUx7ovXg/profile-displayphoto-shrink_200_200/0/1635950828868?e=2147483647&v=beta&t=dHGHw4uh8F3Ch4SLNXCAnEQEfr-rYfzmo6EfIAzZRIQ,Global Head of Alternative Credit,7,1,
Mark Gilligan,https://media.licdn.com/dms/image/C5603AQHpkxNcMoKqdw/profile-displayphoto-shrink_200_200/0/1638441911322?e=2147483647&v=beta&t=PQIxpawTTdd_IPYYFMXFbJvdOkb7hko0nE9CTQbvlMI,Head of Infrastructure,8,1,
Marion Redel-Delabarre,https://media.licdn.com/dms/image/C4E03AQFz2m21jraMcg/profile-displayphoto-shrink_100_100/0/1655994873902?e=1724889600&v=beta&t=drraXLWO9adNcqjf4bLPhrkvIx1m4pZ723WFa0-4v3I,Head of Private Wealth,9,2,
Jocelyne Tamssom,https://media.licdn.com/dms/image/C4E03AQEGO5KemvjDhA/profile-displayphoto-shrink_100_100/0/1516684617207?e=1724889600&v=beta&t=wmk1A1rSyJENnXux-ze5uECp_OKtncv1YnYypaFTXOw,Head of Communications,10,2,
Gregory Le Buhan,https://media.licdn.com/dms/image/D5603AQHHGbi4yEJFLg/profile-displayphoto-shrink_100_100/0/1680169970343?e=1724889600&v=beta&t=h80U0Jm4uLLeqDG_ObBCWWXTwk1eSxZW8SGrhOxuXn0,Head of Marketing Private Wealth,11,2,
Michele Filiberto Marchese,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Head of Alts Client Group, Italy",12,2,
Benoît Roques,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Co-Head Of Core Strategies,13,2,
Bruno Guy-Wasier,https://media.licdn.com/dms/image/C4D03AQE2gYARwk37QA/profile-displayphoto-shrink_100_100/0/1516235998128?e=1724889600&v=beta&t=OQ9JEHz8SbG88GWq5Z0dvLrJRmmYl6bWFgzEqf1pfbI,"Director,  Global Head of Client Service and Sales Support",14,2,
David Mey,https://media.licdn.com/dms/image/C5603AQFKGnDAFIdUng/profile-displayphoto-shrink_100_100/0/1516241843683?e=1724889600&v=beta&t=PHwuogZVyiAHAYB-tTBS3iX_ogbJkg4Jy7CeocJV9VI,Global Head of Expertise Risk Managers for AXA IM Alts and Prime,15,2,
Manisha Patel,https://media.licdn.com/dms/image/C4D03AQHbJ6hi1fhyGA/profile-displayphoto-shrink_100_100/0/1516814578167?e=1724889600&v=beta&t=ozMTmspUH49LF27oZYEM3gXX0VZ_LHJK4Sr-4rmqNLo,"Director,  Global Consultants and UK",16,2,
Jörg Schomburg,https://media.licdn.com/dms/image/C4D03AQFvwj7-d5OsUg/profile-displayphoto-shrink_100_100/0/1538744948615?e=1724889600&v=beta&t=mU5VmWqkPZ4PUj1H4nYp3OHgVPBoIKfD_uzN6rGmEkg,"Head of Client Group Alts,  Germany and Austria",17,2,
Christoph Wust,https://media.licdn.com/dms/image/C5603AQEYao2eomU3FA/profile-displayphoto-shrink_100_100/0/1517427738758?e=1724889600&v=beta&t=WbYippp15Nj6we-EgEkSsHW3eIvCr_KDxc8h-_DFbdU,"Head Business Data,  Client Group Alts",18,2,
Stephan Ackermann,https://media.licdn.com/dms/image/C4E03AQFfaL1DYmZVaA/profile-displayphoto-shrink_100_100/0/1517682257024?e=1724889600&v=beta&t=oSAsC20F99ydzX-3MhoTnvWm8MaHDk_R4Ba4haykDps,"Head of North America,  Client Group Alts",19,2,
Hidetaka Ibe,https://media.licdn.com/dms/image/D5603AQEj72FchpNvWw/profile-displayphoto-shrink_100_100/0/1716294736402?e=1724889600&v=beta&t=Vwe5fBZ1uvtELltpqw7OPt_0K4Q5UsHWANySOigZ85I,"Head of Client Group Alts, Japan",20,2,
Stephanie Rousset,https://media.licdn.com/dms/image/D4E03AQGZUKauB2jTIQ/profile-displayphoto-shrink_100_100/0/1679924481439?e=1724889600&v=beta&t=N_361etJtsKFSgPKozjw-EE8UFaD_-VuFuabcOKUZeg,Head of Client Group Continental Europe,21,2,
Sandra Da Rocha,https://media.licdn.com/dms/image/C4E03AQEXEZYaBPssrg/profile-displayphoto-shrink_100_100/0/1516931577938?e=1724889600&v=beta&t=SuZctD4DMHCZ7QWTAz8UO4GcuWqsEBuOuNdCxLqhNwE,Global Head of Client Service,22,2,
Qian Yuan,https://media.licdn.com/dms/image/C4D03AQHRFYHZk2kCwA/profile-displayphoto-shrink_100_100/0/1636936357652?e=1724889600&v=beta&t=21skI5ipKXLoaK5R9FD1AAdVhIoWem4fjzZIYV2FY8g,"Associate,  Client Group Alts",23,2,
Anne Mandrau,https://media.licdn.com/dms/image/C4E03AQG9RmAq5FnZqw/profile-displayphoto-shrink_100_100/0/1585863016970?e=1724889600&v=beta&t=7XCoxhW8svUsHpvg-zcwQliWET7LGAnSlwNWX1XrrC8,Personal Assistant of the Deputy Head,24,2,
